dname,label
evocative-bus-278011.nw.r.appspot.com,1
enterzainment.co.za,1
nvposqdyfgrwsiyvuustshlzpi-dot-gloff849483.uk.r.appspot.com,1
rwh.readthedocs.io,0
denizbank-bonus-islem.club,1
oversizecontemporaryart.com,1
theroundupnews.com,0
notification.6373320254.update.wellsfargo.com.frem.com,1
bb.mobile.apksms.com,1
justinhohn.typepad.com,0
authenticate-confirm.xyz,1
subesi-akbank.com,1
unibocconi.it,0
outtlookaccount.000webhostapp.com,1
facebook.iridiumsecurity.org,1
wvmqquthmutualportmutual.000webhostapp.com,1
suntrust.comeoqwerty.pranavitours.com,1
uninet.cm,0
s.yam.com,1
adition.com,0
gtnfozwbwqfjdmjlbehrhwnltg-dot-gleowayel400503.uc.r.appspot.com,1
karenkovaka.com,0
axilsolutions.com,0
aegis.anyhome.co.kr,1
yellowcabnc.com,1
europeconsommateurs.eu,0
androidbabbles.com,1
reajaagora.org.br,1
ssh-401k.com,1
pnjuexeqkhbqnladtxmnyxgdxf-dot-gloff849483.uk.r.appspot.com,1
nobletrusts.com,1
cnrmz.cn,0
appleid.appletwid.com,1
vguns.com.br,1
pavypal.com.updateinformationsupport-privacypolicy.loginpage-scauninhc67sagbgy23176vbsad8y76ga.b7fn35.org,1
gilbertjpg.myjino.ru,1
7enpunto.com,0
4074c4aeda7021213cf61ec23013085e.pw,1
impotsm8.beget.tech,1
jondfe.co.vu,1
nfm.wroclaw.pl,0
newsystemsservice.com,1
izmirhandcraftedleather.com,1
holmes.bg,0
escortsbogota.co,0
redctt-faury.com,1
vr-private-kunden-de.tk,1
victussports.com,0
loungebatel.com.br,1
dewakimochi.gq,1
samkwang6477.myjino.ru,1
mastek.com,0
straye.com,0
connect.auoneid-jp.com,1
0tzg4irsuabvucpvw937.maherstcottage.com.au,1
thevillasdowntown.com,1
bit.do,1
saudijobstoday.net,0
humanevents.com,0
buckedup.com,0
busplus.com.ar,0
oshclub.com.au,0
bestfriends.org,0
halkbank-80internetbank.com,1
kartupintar.com,1
ibizasmoothsailing.com,1
avon.com.br,0
www.siffjeddah.com,1
pailed.com,1
mastel.id,0
corporateprofessionalsglobal.com,1
cgi3baylgitm228419501205.altervista.org,1
puff.com,0
yatue.biz,1
jornaldamoda.com.br,1
wellfarer.000webhostapp.com,1
grupoasvserviciosfunerarios.com,0
masseffect.com,0
wannyanoukoku.com,0
app-1517781105.000webhostapp.com,1
olivetdesign.com.au,1
kolpress.com.pl,1
christchurchairport.co.nz,0
enviromechanicalservices.com,1
residentrf.ru,0
athensprestigehome.us,1
umeko.com.tw,0
173.254.8.228,1
mmmtravel.com.tw,0
donostiakultura.eus,0
rhymesayers.com,0
tspl.jp,0
lgraawoulgvulllbuzkvxlfedv-dot-gleowayel400503.uc.r.appspot.com,1
plwaz2xxi06iaab0rimt.businessrulesanalysis.com,1
alphakl.de,0
radhas.in,1
myvalerka.ru,0
cruip.com,0
gritlax.com,0
pssepahan.com,1
cuw.edu,0
researchhubs.com,0
mosthallottam.hu,0
x23us.com,0
adtrackit.com,0
internetstart.se,0
clonedistribution.com,0
endicottestate.com,0
registerer2.f4npage-confr1m.cf,1
entromizer.com,1
patrickbell.us,1
jomasport.com,0
jacekkwiatkowski.pl,0
idealbabes.net,0
gooseriverbank.com,0
nummlock.000webhostapp.com,1
bestsoftwareaccess.com,0
shtihel.ru,1
charliescandle.com,0
ethersearch.app,1
dat-25.com,1
restore-limited-id-jp.info,1
allmonitoring.ru,0
pot-i.top,1
applicationdesmouventsdirects.com,1
1962lawiah.esy.es,1
amazingabssolutions.com,1
thearsenale.com,0
bcpzonaseguravialbpc.com,1
mobilerepondeurmobile.000webhostapp.com,1
maxymuseventos.com.br,0
apofraxeis-leonidas.gr,1
chemlite.com.my,1
felomena.com,0
korogmu0.beget.tech,1
confirimmme.aspire-fanpage98.tk,1
sectorasegurador.es,0
casa980.com,1
thechiller.com,0
sahabatbaliholidays.com,1
schubertshop.ru,0
dareenerji.com,1
getfrank.co.uk,0
pixeluae.ae,1
janellerealtors.com,1
limitedaccount.ml,1
viewsfile.com,1
00capital0neservice.000webhostapp.com,1
firstonetv.live,0
cloudns.io,0
btenia.it,0
tomiyaculture.com,0
qasimtablamaker.com,1
corebine.com,0
digitrendsafrica.com,1
winningteam.in,0
csmoradea.ro,0
havven.xyz,1
ib.nab.com.au.nabib-acc.ga,1
comercialherby.com,1
insitory.ru,0
elitecardecor.com,1
sunphoto.ro,0
aomendenmultipleoriductseirk.com,1
lampo.it,0
onepixel.com,0
5d79f9d66174592d5e31c3b2ff324395-dot-dbenitonline.ey.r.appspot.com,1
185.136.169.191,1
weloveturf.co.za,1
login-review-information.com,1
axelon.com,0
discover.com.treedv.com,1
couponezine.com,0
diamondlifekobe.com,0
rocketcamp.com,0
seekultimatestorm.com,1
webontwikkeling.co.za,1
theundergroundsecrets.com,0
petrolsigaze.com,1
metrobeautymedical.gr,1
halkbank-halk80yil.com,1
theforeverlegends.com,0
suport-lcloud.com,1
happydivination.xyz,0
makeovr.com,0
rent1819.com,0
orbusc.com,1
checkacctrecovery666.000webhostapp.com,1
nsbaoan.com,1
zonasegurasbeta.com,1
viascorp.sharepoint.com,0
aliqbalfilquran.tk,1
scotiabnk.online1.uno,1
paypal.de.sicherer-login.com,1
umiortechnical.com,1
bankofamerica.com.earth-eg.org,1
answers.ambebi.ge,1
tsitenos.gr,0
anarotomotiv.com.tr,1
mobile.free.reclamtion-ifm.com,1
electricidadmiguel.com.ar,1
toavenetaal.com,1
stellenonline.de,0
bizzylizzysgoodthings.com,0
recovery-page.com,1
webplus.info,0
mali.pe,0
antfromnaptown.blogspot.com,0
visitemedicalepermisconduire.org,0
smartprinting-bd.com,1
llnwd.net,0
woodinvillewhiskeyco.com,0
mpnhhexhytlkqgxbhokhrrmngz-dot-gleowayel400503.uc.r.appspot.com,1
localisationing.com,1
franciscassf.com,0
naziawasif.com.au,1
zingpopculture.com.au,0
minitmaids.com,0
drevlider.ru,0
expertnapredaj.sk,0
paypal.com.verify.account.locale-x.en-us.logged-in.account-summary.verify.gon543.com,1
mycotoxinresearch.org,1
biitstech.com,1
berbagicatatan.web.id,1
upgreadedtservice.net,1
aktifinsaat.gen.tr,1
jasonjarvis.com,1
kudell.co.uk,1
ayyasindociptamedia.co.id,1
komikzone.com,0
seidenwald.de,0
micromm.tech,0
myetherwailet.tech,1
awa-beauty.ru,1
verified-all.club,1
bankofamericacom.vpstrust.com,1
zhiyou100.com,0
king365tv.com,0
www.genuach.cl,1
jomaa.tn,0
napoliteatro.it,1
coastalcameranetwork.com,0
frontier2u.com,0
websfinanceicu.icu,1
karteria1.blogspot.com,0
bradfrod.com,1
owaportal.anafabrin.com.br,1
perkinss-imac.fgppchg.fgpp.com,1
asus.com.br,0
mantenoa.com.ar,1
kibot.com,0
eventsguru.ml,1
payee-text-confirm.com,1
travelbookings.biz,0
herbalife.co.id,0
matchness.com,0
lacasademaruja.com,1
php-filemanager.net,1
durst.homeworksolving.com,1
dom4m.com.ua,0
zxvddgdf.5gbfree.com,1
teamhgames.blogspot.com,0
amaranthos.us,1
amelifab.beget.tech,1
centre-renforcement.fr,1
confermatiapp-isp.000webhostapp.com,1
gamesevideogames.com.br,1
serverupgrades.igg.biz,1
twitchtracker.com,0
chasebanklogon2.xyz,1
weedsprayers.com.au,1
maria450fatima.000webhostapp.com,1
learntodraw.com,0
thessalonikiguide.gr,0
minasi.com,0
prominencebd.com.au,1
insidehoops.com,0
accounts-cp85.webprestashop.com,1
accountidinfo.info,1
www.esformofset.com.tr,1
bitvin.org,0
etransferiinterac.ranggorawakh.com,1
barakshiraz.com,0
sportsauthority.co.jp,0
leertekelve.hu,0
gtarides.com,1
pac.fr,0
solepremise.com,0
iforgot-account.info,1
coopercarbono.com,1
avvmus03.beget.tech,1
redurbanspa.com,1
myetrherwallett.com,1
adlawyers.net,1
account1lmited.ga,1
ipc-outdoor.com,1
radiolatricolor.com,0
amubm.com,0
m2icomms.co.uk,1
freedombaterias.com.br,0
hellocovo.com,0
sambalpurnursingcollege.org,1
clickurl.org,0
creditcardfun.com,0
check.vibearts.ca,1
allgaeu.life,0
saadiqratrust.com,1
demo.ithreeweb.com,1
rcrqyqgsdzpwgwixkoetkuxfhx-dot-gleowayel400503.uc.r.appspot.com,1
vakifbankbireyselm.com,1
comdados.com,1
cmps.co.in,0
fr4ozoyphhglqoydc66j.mbservicesyorkshire.co.uk,1
clubsoccerbdf.com,1
divinephotosdrve.com,1
trusturman.com,1
odaeecjdswlesdvwivgnfchsnm-dot-gloff849483.uk.r.appspot.com,1
kvs.gov.in,0
myequitrans.sharepoint.com,0
apple.map-iphone.com,1
6281952001867.000webhostapp.com,1
pna.pl,0
iontac.com,0
indo168.club,0
westcoastuniversity-edu.com,1
steam.steamscommunity.pro,1
wtwetwerq.tk,1
gpat.com.ar,0
ipbazaar.ca,1
kijonotakuhaibin.com,0
teplovoz38.ru,0
optimummarketing.com.au,0
mmgal.com,0
sectionvgirlsbasketball.net,0
security-account-centre20180804.000webhostapp.com,1
payment-secure9.com,1
escribecine.com.mx,0
maria.sgpermata.com,1
fdrlab.com,0
safelinkonlineverify.com,1
chefsachekopf.de,0
lisaorth.com,0
distritalfm.com.br,1
901openyourmin4success.com,1
docsign.libra.id,1
michiganradio.org,0
dffgfyuityirtueriytoui.000webhostapp.com,1
taxe.pl,0
information-updateaccount-service-secureaccess.com,1
ali-moghadam.ir,1
scotiabanktt.net,1
klik4d.com,0
findcompany.ru,0
najipars.com,1
comprascoletivas.net,1
calpak.myshopify.com,0
kraftmint.com,0
lagoagrandenoticias.com,0
three.newbillinginfo.co.uk,1
f3jsffd3fosowa.ts.r.appspot.com,1
interstatesiqns.com,1
decorativeconcreteexpressions.com,1
verify.myaccount.wallet.iatxmjzqhibe81zbfzzy7nidicadefnaleaa46cq6nxackdbwrrfd2z.crownoption.com,1
fr.westernunion.com.fr.fr.session-expired.html.trupaartizan.ro,1
check-privacy-log.cf,1
firebrandpc.com,1
lakeshorecrossing.com,0
mikhimshaissayd.blogspot.kr,1
absolugirl.com,0
zarovi.cz,0
prepareyouran.us,0
lso.ca,0
ufw.org,0
balohome.com,0
jobnocafofo.com,0
momiekai.com,1
estatesinvestors.com,1
diet394.com,1
inndot.com,0
estudiokgo.com.ar,1
account4support.com,1
filosofiarap.blogspot.com,0
presencefrominnovation.com,1
truyentranhtuan.com,0
hetacatch.com,1
14czda0-system.esy.es,1
khmch.com,1
marche.fr,0
tvdsb.on.ca,0
bcpzonasegura-promo.club,1
theschoollocker.com.au,0
sosrodzice.pl,0
tectron.cl,0
binghomepagewallpapers.x10host.com,0
useboomerang.com,0
blindster.com,0
madrasanajmulhudatenkasi.in,1
finewer.com,0
daveryso.com,1
itcilo.org,0
cpsievert.me,0
123seminarsonly.com,0
fbcdn-com.44e5e90de53e92dbfde22aaf3b061280.gq,1
portfolio.pk,1
yumys.ca,0
login.docaccountdownloadvesbestlinojneviewer.nboatclub.com,1
rationals.tk,1
anteor.com,0
nexusglobal-america.com,1
vkcomfeed.esy.es,1
gwglinz.at,0
interac.canada.revenue-tax-agencys.austrollantas.com,1
yamiyami.ru,0
votemix.com,0
occonsultores.com,0
olmeko.ru,0
airlinessubject.top,1
casajad.ro,0
royaldoulton.com.au,0
boaameis.beget.tech,1
ameliremboursement.000webhostapp.com,1
ethemtankurt.com,1
service-appleld.com,1
ifnwrlecfeqxivrxresjuapedp-dot-gloff849483.uk.r.appspot.com,1
bitcoinprofitapp.net,0
deliver.events,0
vintageperfumebottles.name,0
alshouranews.com,0
facebbokkkkk.000webhostapp.com,1
tehprom-s.ru,1
kpo.go.th,0
kotascooters.myshopify.com,0
payable-domainregistration.tech,1
theboneonline.com,0
fido-overcharging.easydepodirect7ca.com,1
banking.raiffeisen.at.id176145.top,1
ballaingatlan.hu,0
examenglish.com,0
iso31000.site,1
urhoba.com,0
portaliluminar.com.br,0
moekursk.ru,0
alert.apple.cdtr76cq.beget.tech,1
zhitvoxpscjsqxsnyaxygpatpq-dot-gleowayel400503.uc.r.appspot.com,1
psdkiel.de,0
sheteygcovilqownqnemranhyq-dot-gleowayel400503.uc.r.appspot.com,1
mcalighting.com,1
secure-553-document.getforge.io,1
sarkariyojnaindia.com,0
mail.mypayee-security.co.uk,1
bibliomidi.org,0
reprizm.ru,0
journalofindianscholar.in,1
nanophuocthanhconduit.com,1
activate-wfb.today,1
ch2.criacaodesitesrj.com,1
edibrooks.com,1
blog247.ro,1
oshonsoft.com,0
signin.e-bay.us-accountid0902852226.sig-eb.me,1
hydropasscarvalet.co.uk,1
rosecrochet.com,0
dietafigura.pl,0
caroradenoche.com.ve,1
skaliongroup.com,1
ewgpage.lpages.co,0
19tv.top,1
sacmlcen.dominiotemporario.com,1
primarykamaster.in,0
goodrx.com,0
schuna-trainer.de,1
genesyslogic.com,0
romecitytour.it,0
paypll-authenticate.000webhostapp.com,1
eggbreakers.com,0
libradu.akerusservlces.com,1
rakuten.co.jp.rakuteng.xyz,1
worldlulz.ml,1
trendsettercorp.mosquito-digital.com,1
fbconfirmpageerror.co.nf,1
moniteurautomobile.be,0
gay1.com.br,0
eshedgroup.com,1
afariat.com,0
gatochaman.com,1
jurnalponsel.com,0
poedim.ru,0
accupgrades.org,1
colegioapostol.com,0
arteyaeko.com,0
drips.fr,0
rebenokmama.ru,0
selrea-eraeer9.net,1
padariadesign.com.br,1
sixsieme.com,1
dovanko.gr,1
fzg360.com,0
maxxistore.it,0
stalworth-perforati.000webhostapp.com,1
crazygoodmarketing.net,0
keysheet.io,0
selectivemotorcar.com,0
teamerchant.jennabc.ca,1
icloud-reserve.ru,1
apple-l.tunes-accssid-limitedkonto.info,1
julhodopinguim.com,1
szolnoksobarlang.hu,1
nenuda.ru,0
ikkk.ru,0
wibox.me,0
businessmark-events.ro,1
vksurf.zzz.com.ua,1
contrabanci.com,0
vilasshinde.com,1
endustriaydinlatma.com,1
zahramusic.ir,0
hotwanrnelrt.com,1
fo-keteyy.ml,1
www.asmuucon.top,1
supremejeweler.hk,1
tantesh.com,1
bookluver.com,0
muchomaterial.com,0
infoprodigydelivery.com,1
www.versofy.com,1
softfaw.ru,0
dairyfarmconcept.com,1
rfga5e4gn545.altervista.org,1
pednanet.servicos.ws,1
mittel.sk,0
dskum.co.kr,1
sfglife.com,0
vinomarket.com,0
paypal.homepplsgroup.com,1
acckkl.com,1
khaliskoppar.info,1
umgorzowmy.sharepoint.com,0
com-iclodstore.com,1
mywedding.md,1
realty.com.au,0
marchforlife.org,0
secure-file.cherryhilllandscapemaintenance.com,1
bancadiechile.com,1
a.b.c.d.e.gwtoys.cn,1
diariamenteali.com,0
dizifox.net,0
ziraaatmobilsubedesiniz.com,1
destination-baleines.com,1
www.strqarty.net,1
wansernmy.com,1
orient.com.bd,1
adapazarihuzur.com,1
startupindia.gov.in,0
jwpray.com,1
albavira.ru,1
instasaver.org,0
rbisolar.com,0
allshecooks.com,0
citaprevia.cat,0
egift-septembers.000webhostapp.com,1
huisartsenpraktijkvanmalenstein.nl,0
3-support-uk.com,1
bisnessapps.com,1
aorjdenpdcmeogrymutbvxscsd-dot-gleowayel400503.uc.r.appspot.com,1
c4b6ea2a6c0a8a525f872a9807de547d-dot-dbenitonline.ey.r.appspot.com,1
bank-of-america.billiards-elite.gr,1
iwxindia.in,1
nogawater.com,0
momilitaryvote.com,0
visualfood.org,1
digimedia.be,0
aviatoronline.sharepoint.com,0
novoboobs.com,0
markdisaservice.com,1
chase-banking-service.theimblueprint.com,1
mtlurb.com,0
gleeigy.info,1
autorestauraties.nl,0
bgqnijvrpnkigfemjfnkdznbej-dot-gleowayel400503.uc.r.appspot.com,1
ndfbskfngsfg.ga,1
sockmonkey.com,0
manotaso.com,1
appleid-find-verify.com,1
barbaraeugenia.com,0
mediamarket.in.ua,1
tradewinds.be,0
tokensale.havven.sale,1
palmoilmillplant.com,0
interafricatraining.co.za,1
dieucayvietnam.com,1
americanthunderdfw.com,1
danishehsn.net,1
confirm-support-info-center.com,1
monstersss.shop,1
3x05.ru,0
akvaryumforum.com,0
randomstring.logorder.com,1
geniqueeducation.com,0
sa-vision.com,1
barcodesaya.000webhostapp.com,1
graphicsolutionsok.com,1
lifetime60day.com,0
jdqllajjufqpqendvugkipwgtr-dot-gleowayel400503.uc.r.appspot.com,1
litfusemusic.com,1
steamcommunitly.site88.net,1
u846914og4.ha004.t.justns.ru,1
moneymagic.ru,0
yachtfocus.com,0
pstdieqz7m2c2comyrev.alfacomercial.com.br,1
kerri-meehan.com,1
reztrip.com,0
twinaherbert.org,1
pyuvgdgcmybbjybmupovyqealp-dot-gleowayel400503.uc.r.appspot.com,1
poste-mobile-apk-login21.otzo.com,1
concerotel.com,0
ingresoreal.net,0
sunbingo.co.uk,0
cleaning.vaancreative.com,1
us.battle.net.login.login.xml.account.support.html.blizzard-settings.xyz,1
fx110.com,0
rgmechanics.club,0
jstzpcty.com,1
madingcalipprox.com,0
easynkilkis.gr,1
dgmtrusotknyasrvcepge01.surya1601.my.id,1
align.ru,0
ezdhan.in,0
lineyi.cn,1
whatyoufound.com,1
cadastra14.sslblindado.com,1
padariasantamarta.com,1
scotiaonline.com-ssl-m.top,1
firmanck18.000webhostapp.com,1
hinsdaleumc.dreamhosters.com,1
aecarolinamichaelis.pt,0
fbotutos.com,0
marcoandmarco.com,0
oceanstage.net,0
sunlightsports.sg,0
rpnhyfipfcoajnllvqrtqjzcxe-dot-gloff849483.uk.r.appspot.com,1
blue.edu.pl,0
realpush.network,0
maggi.fr,0
uulucky.com,0
bcpzonaseguranet-viabcp.bc-kes.com,1
chescos.co.za,1
adamsvpm.com,1
noonacademy.com,0
iartmuseums.com,1
firmabikes.ru,0
adwaengg.com,1
iadcdredging.com,0
steamecommunity.com,1
orangefacture.maitrepx.beget.tech,1
irtvtehran.com,1
mlmone.click,0
parksideband.com,1
applozic.com,0
sunrisecorp.co.id,1
gaiamount.com,0
prodeporte.com.gt,1
ezstream.com,0
thepainfreeformula.com,1
manage-srcappid.com,1
historyshort.net,1
trex.me,0
ummehani.pk,1
cleanessence.net,1
nicheshopping.wizncali.com,1
appleid-store.com,1
santan27.beget.tech,1
xn--ethrdelta-iib.com,1
bizkontakte.com,0
admintadministre.cf,1
xmemuzay.info,1
gcfapress.com,1
wfsd.k12.ny.us,0
lawsofpakistan.com,0
gatimu.co.ke,1
bennettdrums.com,0
spip.gov.my,0
zonabovirtual.com,1
xqyymtzpqmdaynrqicdqtgnbtv-dot-gleowayel400503.uc.r.appspot.com,1
bs7gwcsyxrsu1jfyamrb.alfacomercial.com.br,1
natibay.com,0
sproutgiant.com,0
wf.nv-acc.online,1
lifetreeorganic.com,1
betfaq.com,0
menstripgifts.com,1
rushrepublic.co.uk,1
drjavaherian.com,0
expertcomptabletpe.fr,0
acmesoapworks.com,1
butsudannoharada.com,0
quicwebsolutions.com,1
manage-hosting-clienti-aruba-srv.eu,1
mortonarb.org,0
oanabulai.ro,1
avantagro.com.br,0
facebookhot.free-h.fr,1
porteleader.com,0
wsxzsery9.club,1
poiskludei.com,0
telugurajyam.com,0
zonaseguravialbcp.com,1
ablehed.pro,0
theorchard-parung.com,1
turn8d.com,1
fb-register661.at.ua,1
cobbler.github.io,0
suexk.ga,1
casahelbling.de,0
khabargozarisaba.ir,0
ziraatbankonline-esube.com,1
socks24.org,0
prajavani.net,0
lindsaykphotography.net,1
bireysel.ziraatweb.net,1
www.reizprivateresidence.com,1
help-community.16mb.com,1
wvhks.com,1
cbs7d.pw,0
seosait.com,0
allmine.co,0
jasonthelenshop.com,1
1000agres.pt,1
okexgiveaway.com,1
kstartup.go.kr,0
hentaiglobal.com,0
kollarovka.cz,0
bitrebels.com,0
cruisercustomparts.de,0
itsmdaily.com,0
googledocs.pe.hu,1
afghanbazar.com,0
secure.login.paypol.cgi.bin.ultra-kelp.com,1
ricardo.ch-login.icu,1
datasitcherheit.ml,1
dawoodtakaful.com,0
paysdelunel.fr,0
rbc-1royalbank.com,1
fastnetasb.ga,1
bohlapartments.com,1
mundooriental.com.ve,0
paypal-deutschland.secure-payments-shop.com,1
drawagakademie.ch,0
burlesquewonderland.co.uk,1
jennyshih.com,0
bluebonneths-web-inv.tk,1
pittsburghcurrent.com,0
reformasgranada.tk,1
page-help-set.000webhostapp.com,1
kqtafrabirrgbbvplqaognqhsd-dot-gleowayel400503.uc.r.appspot.com,1
milliy.biz,0
jackwestin.com,0
pslmnoayetrd.info,1
ilaclama-sirketleri.net,1
nextentdmz.hu,0
account.personel-information.com,1
upgrdprocess.com.ng,1
t0x529rn84tpw7sp62un.businessrulesanalysis.com,1
xupingopt.com.ua,0
j679964.myjino.ru,1
cancellation-removing.com,1
arabrenewal.info,0
horsensauktioner.dk,0
plissconfrimfage1222.plisceeksfanspage.tk,1
appstorm.net,0
amdftabasco.org.mx,1
lifea.co.kr,0
26c52281.ngrok.io,1
odapas-valle.com,1
nolansims.tumblr.com,0
setting-succest.000webhostapp.com,1
bestchcange.ru,1
oss-india.com,1
fiestasguadalajara.com,1
canoodlesoup.com,0
museumsinflorence.com,0
hesaba.com,0
jetsocome.com,0
procedure-requirements-and-policy-officer.000webhostapp.com,1
conwaynh.org,0
mcsv.ga,1
www.co-host-listing-83732.casa,1
www.hardycs.com,1
emerarock.com,1
laico-atlantic.gm,1
multih2h.net16.net,1
rpg57.com,0
vkcheck.pe.hu,1
restauranttalents.bg,0
upload-button.us,1
peitsche.de,0
infolio.es,0
promohinotruck.com,1
insurthanusberge.info,1
astrazeneca.gr,0
virtualcloud.com.br,0
ktgy.com,0
autoshow.ro,0
www.logln-office365-0nline.wm.r.appspot.com,1
vparseh.com,0
beautifulbeneathgh.com,1
172.86.64.17,1
carpet-cleaning-directory.com,1
profit.bg,0
wiccamagazine.com,0
cognitiveintegration.com,1
usedprice.com,0
chicagoliveshealthy.com,0
drmcdougall.com,0
centraldc.net,1
update-new-site.cf,1
komanefilms.com,1
landscapeinstitute.org,0
palaeosocjapan.jp,0
koshishinclusiveschool.org,1
healthyliving.gr,0
gorenje.cz,0
enguide.ru,0
online.citi.com.us.jps.portal.index.do.promo.idspbl.cleaningrange.com.au,1
busundbahn.de,0
ffxivcensus.com,0
danielbertero.wordpress.com,0
iepcsr.com,1
support-facebooksecurity.ru,1
craigandpamswedding.com,1
sorelfootwear.ca,0
inee.com.tw,0
chihaktower.com,1
contsmartweb.com.br,1
egresadosudistrital.edu.co,0
konthaelektro.hu,0
ourocard-e.com,1
defender.com,0
appieid-results.com,1
autoeurope.be,0
nichberrios.com,1
njuqssvyhliscaonafrlnhsnxt-dot-gloff849483.uk.r.appspot.com,1
datavisualizations.tumblr.com,0
endecaondemand.net,0
bchydroservice.com,1
informativoclientebra.com,1
civillawselfhelpcenter.org,0
est1892.co.uk,0
progimnaziyadar.ru,1
actfpc.com,0
athena.co.id,1
allways.no,0
infolimited.net,1
csgostats.com,0
enerdzis.com.pl,1
sdnpudakpayung02semarang.sch.id,1
lguplus.co.kr,0
idebate.org,0
adidam.org,0
faheemproducts.com,1
apiai.org,0
kjfkgjte.tk,1
panduanmalaysia.blogspot.com,0
dewaltbudejovice.cz,0
stpauliperle.de,1
pulsepublishing.com.au,1
online-screw.cf,1
aneel.gov.br,0
petswallet.com,0
asiantradersglobal.com,1
bridgewoodchurch.com,0
secure270.inmotionhosting.com,1
cgct.us,1
microsoft-error-alert2017.com,1
lhitlbtc.hosstinger.info,1
imindco.com,1
rechargeserver.biz,0
onlineqrislemleri.com,1
liteshop.tw,0
intertoys.nl,0
ana-ero.bid,1
jettemoeller.dk,1
apfzamwkskijyrbplyzwxmvzbq-dot-gleowayel400503.uc.r.appspot.com,1
radioramamexicali.com,1
societae.com,1
vk-activation.esy.es,1
laslomaspta.com,1
ni1903722-1.web19.nitrado.hosting,1
cadastramentooficialong.org,1
realesta74.net,0
eyesandmore.nl,0
rosebilisimbodrum.com,1
amerisure.com,0
dishusarees.com,1
stabil-therm.gr,1
enetkaniichiba.com,0
serviceinfr.expert,1
akashgautam.com,0
surfeventsco.com,1
topcrack.ir,0
airportrentalcar.biz,1
bennisson.com,1
masteeww.gq,1
dnsqueries.com,0
mulligan1983com.usa.cc,1
yorkregion.com,0
eglifos.com.br,0
n07qhvig7soihfjpyrws.littlematchagirl.com.au,1
feelingslink.com,0
xamlspy.com,0
m.emv9269.com,1
