97daaccc69a3aa41de6cab84cfe9f4e8,000b3754ebc6f6e67d06b0859dad767b0df675dc9b7be44149b0446df75b56ce, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2014, push mov mov , call mov mov , mov test , mov add , call push 
9dcdaebd6ede1c96198e340d2d0fcb46,000200c58afdbf140cdbba6606b127ce24a0e1bcec132f8b4c083970df9a36ac, Downloader, Win32, Firser, not-a-virus:Downloader.Win32.Firser.a, 2013, mov mov mov , mov cmp jz , push mov mov , test jz , test jz 
f0ef459bae9c07f85e78a1ccd2419ddf,0004055d9030286af92eb22884b9814fbac833c2bb87143c79fc9045237c35bd, Worm, Win32, Fipp, Worm.Win32.Fipp.a, 2012, mov cmp jz , push push push , call pop , mov mov cmp , push mov 
eb78518b32402bc7cf77ffd7afccb7d8,00059b0f303245d3c9589926d5c8e3d4ac187c05492ba921fbb96a3978409b74, Worm, Win32, AutoIt, Worm.Win32.AutoIt.xcl, 2011, pop mov , push mov call , lea mov , push mov push , pop mov 
a8d43578b6999c780d49b3cd51194789,000deeadde18e68b7b1b0bd7aa708a86a2d76018b4113cbf36e855bdd1952bd2, AdWare, Win32, InstallCore, HEUR:AdWare.Win32.InstallCore.gen, 2013, mov test , test jz , retn mov , push push , push mov call 
17396a67e76db5da3571151289f25167,0007fd59611aa6efa24ba220c25be2174531f647aa0458649fa854592f6c121c, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019, mov mov cmp , push call , retn mov , push lea , jnz mov 
ea9446eac759b2724bde90e539b1d2a5,0006d90ecde1ea829ffe23169aff5790243910d1b20b1e124db2c04fb1c2cc43, Email-Worm, Win32, Mydoom, Email-Worm.Win32.Mydoom.l, 2018, mov push mov , jz mov , mov push , lea mov , lea push 
69a04a68ab6f85b27ca23815ece2e218,000508532d6d046fe4a0fb4848d78943621eedec4d848a1a105699c097367c5f, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019, push push call , push call , cmp jz , call mov mov , push push 
22d5d5ff3d74ea06daa687e938ca4fbf,0001c9ee9085548a2562a447b1320def3f3e1916484ca53131b294be1c6fdbd8, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2016, push call mov , lea call , mov push mov , mov push push , push mov 
f2f2af02836008a9808f98dbcc13fb6d,00031dd6b56cc02012103a6631d3e41de2c3341c856b2d1672af2a23238af885, Virus, Boot-DOS, Rainbow, Virus.Boot-DOS.Rainbow.2337, 2014, call push , push call mov , mov add , push push call , mov add 
2c7760492295e96995cf85489f7678b6,000a5fc5b8cef1f0811477bbb1874d601c660f342b7463e6ed5aa844b681fcd0, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2010, mov cmp jz , mov lea , push lea , mov push , mov call mov 
151f96195d324a85e0034eb1e6630824,0004603261fe302eee5bf12559a3e3569ca6e5b3289acba5f66c1893a87647bf, AdWare, Win32, Linkun, VHO:AdWare.Win32.Linkun.gen, 2013, cmp jnz , push push push , pop mov , mov cmp , push mov mov 
a27fedfa21741c6b0f1742847059d73b,0000a28dbf6fad0a7b5e2728d52d5f10c882d9cc04650e441e145ca7ffa956b7, WebToolbar, Win32, Agent, not-a-virus:WebToolbar.Win32.Agent.id, 2018, mov test , pop pop pop , mov push push , jmp mov , mov cmp 
244aaa5b0b2e4b0bcd219eca9633a81f,00011ae7624523b8c34f4824b899e06a6a238e12cf99ce3e79040da900c7ac04, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2019, call pop , mov xor , mov call mov , mov mov cmp , xor mov 
cbcb793c18e382d49b49135051378548,000d797bc7c4658dde67ea840457b4433616617cdadf4e5302b258bd9135e25e, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2019, mov cmp , mov mov mov , mov test , cmp jz mov , push push push 
e980ab365cd9b3969d2321a55b54dec0,000fbb71f3ddc6d934b19e867fab1e9855127b4fa8554a01b8085cbb49e926af, Trojan, Win32, Fsysna, Trojan.Win32.Fsysna.akyk, 2018, mov call mov , push mov call , call mov , mov call mov , mov mov 
8e2dc5e726874fcb8358462924435f90,000c26494e42c2c6d180bbb4e88a622e8cd010e7aac7709a3b56e9b16ec59ac6, Trojan, Win32, Starter, Trojan.Win32.Starter.yy, 2019, call mov mov , mov push call , retn mov , jz mov push , mov push push 
4c7068f5afc3f5c82beee6f82ace75ca,000220d2e00a3e9106c966a6a059248d8c838584a88f4416fd741a7e86ec9e54, AdWare, Win32, Morstar, HEUR:AdWare.Win32.Morstar.gen, 2015, jz mov push , mov xor , call pop , call push , mov push call 
a8a945c5aaa0582cf265abf9d856610d,0000ee693c066a99ddaff997717b0e57a9d397e907b561c8b646e904b4291671, Trojan, Win32, AntiFW, Trojan.Win32.AntiFW.b, 2017, jz mov , mov jmp , mov mov mov mov , mov call mov , call mov mov 
f180625320603520ebc8eb6898223e22,000135c3454fd5ee401df0787591c6b67d8a77f4eaf9a2c5dce8090b5e0fd5af, Net-Worm, Win32, Kido, Net-Worm.Win32.Kido.ih, 2018, cmp mov , pop retn , push mov , push push , cmp jz 
f08ab859173e52b671306877803e3190,00077d3dff7025b6f3f0ffe83e3747758211fb337f31453810d1d4bcc699b231, Downloader, Win32, Morstar, not-a-virus:Downloader.Win32.Morstar.o, 2018, cmp jnz , mov jmp , mov test , xor mov , jmp mov 
dcff11ae256a9e1d0e5fa82a974dd439,000e4eeaa9ea2a0f167f22f91bba64fce547fc2b1941e02d0cc54a27b10d1635, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2013, mov mov mov , push call , mov lea , jmp mov , call mov 
dedbfa12dbe968ce4c85e1f7bf232e16,00009cc5192283cf364d919ba87c8b4efd03ed1ccf57bcb73be4d9f8e82e964c, Worm, Win32, AutoRun, Worm.Win32.AutoRun.but, 2018, call mov mov , push push , cmp jnz , call pop , push mov push 
138c4f4d24ec96f16195a7e3ea4c1a01,000b30e4c8dae7d97b0fc324e0b12f743d5791c3844d8523a3c2ebb0b6722d0b, PSWTool, Win64, LSA, not-a-virus:PSWTool.Win64.LSA.b, 2012, mov jmp , push push call , mov xor , pop pop pop , mov push 
d3a9b53f816820f0638a5cc0306dea8a,000fd8e7a1e412e22bc1b4b66fd2c92b11d851d8085ee2c697a30c6f37809705, Hoax, Win32, ArchSMS, Hoax.Win32.ArchSMS.nxu, 2013, call mov mov , mov jmp , push mov call , cmp jnz , lea mov 
7258223de8c2540c2aa4a6efcedaf949,0007b93aa33c1ca71fb984f76e3ea563036485512ae513d4108178564f00a000, Downloader, Win32, DriverUpd, not-a-virus:Downloader.Win32.DriverUpd.hlh, 2014, push mov call , test jz , lea push , cmp mov , cmp jnz 
d45f4b2a0afe3a83e66c9a4298dbe991,000884e61c1a024113fe2a722d10936aa17a181234728a2bb7d36d5ae896680f, Virus, Win32, Downloader, Virus.Win32.Downloader.ba, 2018, jnz mov , mov mov mov mov , mov call , cmp jz mov , push push mov 
93b22a60738dffa0b985ea518fde94ad,0003d993f77530c465efcdb347bc8dd49c4479b6907754cf85f159ef1ba6f6a6, Trojan-PSW, MSIL, NetPass, Trojan-PSW.MSIL.NetPass.ad, 2019, mov call mov , mov cmp , mov cmp jz , mov mov cmp , cmp jnz 
e2bce0a81cc49e7f78eb57a0777ff4e9,00029b0a66c0c73b39095d6e3adb19299ee7d4bd05cb96c26738e0f855aa88cc, Trojan-GameThief, Win32, OnLineGames, Trojan-GameThief.Win32.OnLineGames.mnz, 2013, lea mov , pop mov , mov xor , pop retn , push mov call 
9c5d811615464ea410314cfce0e51a30,00089bb24f104fd4233ad6d844d46121a09a6f7aabb4e5d82629ab4b8149b588, Trojan-Downloader, Script, Generic, HEUR:Trojan-Downloader.Script.Generic, 2018, jmp mov , pop pop pop , mov mov mov , call push , call pop 
7bf3e0f29fda0beeadadd6da7ac21a05,000587fab6bdd8c79a5ccc6a0d14a73e98846f49e5d4f482344a104d438e274c, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019, mov add , jz mov , call mov mov , call push , lea push 
b1f209acd8a3335422942cd4149ae956,000b46208f591c22b5c869e695f5ee0ad13fc7958e1424905be51f1e859291d6, Hoax, Win32, FlashApp, HEUR:Hoax.Win32.FlashApp.a, 2011, jz mov push , mov push , mov mov cmp , call push , mov push 
3fcad209f5f567f717ebcd71a488504a,000b7f7fe8d9216798b0a00fb6d13e43def4ed5285875317b26018cca0e1eab1, Backdoor, Win32, Shark, Backdoor.Win32.Shark.cdm, 2010, push push mov , lea mov , pop retn , cmp jnz , pop retn 
1938f3ab10f283e5c06083001c3b3b0b,0001b9c1d8bacd7be40ceb43d46cc2e66e51faf7323bb7cbed508642137a00e9, Trojan-Proxy, Win32, Delf, Trojan-Proxy.Win32.Delf.an, 2013, push call , mov call , mov lea , mov push call , lea push 
138c4f4d24ec96f16195a7e3ea4c1a01,000b30e4c8dae7d97b0fc324e0b12f743d5791c3844d8523a3c2ebb0b6722d0b, PSWTool, Win32, IEPassView, not-a-virus:PSWTool.Win32.IEPassView.cg, 2012, push lea , retn mov , mov lea , push mov push , mov mov mov 
9fab65d0395e7f8889fab2e304af6bb8,000e2a1303ad010617081c29b29a71349e8c340cabbae6867814883849ca2f04, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2015, mov xor , mov push push , mov push mov , push call , mov push 
b94c84bf83be4b58352074ba8eaf445a,0004107b2cff7b39bd566e1576f920d62a7ba59c6b3886974fed660524923fdd, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2014, pop pop pop , push call mov , cmp jz mov , test jz , retn mov 
938653fb19d466d93b6f290c1e0d558c,000152c3f630459e35b96bb4d79006d88fc34b141415ab5a0f5e04d4b16b139c, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2017, push call , push lea , push mov push , push call , mov push call 
138aa9e0c4ece6c02b8970c462c629ab,000f7b66f0f9351b1cd0edde3804be4c02b26111dc3c3d2f98390b9264815f30, Trojan, Win32, Vilsel, Trojan.Win32.Vilsel.bpxe, 2013, pop mov , mov cmp jz , jz mov push , mov pop , call pop 
74aff5f756946e206651a21fcc1f459e,000d29031b5a47df9c0a0e0cf2bfaf15f9f03e1ebad44fd22e9d3bf752751332, Trojan, JS, Iframe, Trojan.JS.Iframe.ajo, 2018, mov lea , mov push mov , mov cmp , mov mov , mov pop 
10e9ade9b608a2264b090d836c425330,0004c8d162f4dc79b03a9749d22a578adb119b184d7902deab5cefde43a9c04e, Trojan-Downloader, Win32, Adload, HEUR:Trojan-Downloader.Win32.Adload.gen, 2014, mov add , push push mov , cmp jz mov , mov push call , pop retn 
909c19d2e97c464e25e5062e77816585,0007194c643b43703b75f9bdc78ea35e2ab8ba87f0533553ad1b1a8c87925d17, Trojan-Ransom, Win32, Wanna, Trojan-Ransom.Win32.Wanna.m, 2019, call push , call mov , mov jmp , call push , mov push push 
dba218c32c82e947085375da5726ba23,00004bba400ec459e9575ef6ce335061502f60e5ca748d9c4d840aacaf0c2120, Trojan, BAT, Qhost, Trojan.BAT.Qhost.vk, 2013, push mov mov , mov cmp , jz mov push , call push , cmp mov 
c8c28f74797ffddeb8a69dd1f4186fd1,000f28ff719ac80388d329440581fb26a40362d42e48cbd7129612a4d660b792, AdWare, MSIL, DomaIQ, not-a-virus:AdWare.MSIL.DomaIQ.cldu, 2019, cmp mov , lea push , mov call , mov call , test jz 
036e0f79b75a520fa7681d9c0197955c,000bb07dcdaf37ac94df60d03fb00076e482c0b1467f606fb3f1750bd7e15ca3, Trojan-Downloader, Script, Generic, HEUR:Trojan-Downloader.Script.Generic, 2010, push push mov , pop pop , cmp jz , push call , pop pop 
6a970f7c24e1e57ff65bfc073a81434e,000ab1670458e42a8ef0901c9118bc803a335414ec5481636bf977caec9ca74b, Trojan-Downloader, NSIS, Chindo, HEUR:Trojan-Downloader.NSIS.Chindo.gen, 2014, push push mov , call mov mov , mov mov mov , cmp jz mov , mov jmp 
c48eea3c4774a60a9855e0ba60952ca6,000779f7df3bd61553a3dcce9ec88f9606f73d22a3ec781a05d934e90daaa017, Trojan-PSW, Win32, QQPass, Trojan-PSW.Win32.QQPass.anbv, 2012, push mov call , xor mov , push push call , mov xor , push lea 
c799b8f7e6b4ae43177e4859bc8f001c,000a4fe5507d715f9af4cc4a666d61dba92dfcf69111a96f6cbf47ae777ecbf7, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2012, push push call , mov xor , push lea , jz mov , pop pop pop 
926c3505bd3c31bbb4ed31d309088b27,0009f1e6761bbb70a97b96ce628363fab81663c3b199d36169f5da438c9cfcc5, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2014, mov cmp jz , mov lea , call push , call mov , mov add 
cb79e83dae84f1f45d182681ed5c5dc1,000bbc216e31276aff607dbca05266b606610f5503a1432f38c8c23ba1ba19e5, Trojan, Win32, Adond, Trojan.Win32.Adond.nrip, 2014, jz mov , mov push call , jz mov , call push , jz mov push 
16038665e39c5c3a3b40e30a1fc89a88,000a5840b68ba67103e8147ec14b7f2dbca737aee1145dd5699cae23ed865f25, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019, mov test , cmp jz , push push mov , pop pop pop , cmp jz mov 
a19190e7f7034bb5330e8ccac932662c,000da7a8bd3e2de4c8ac81451188a66078af19f15cabdf977052b8ea088d9da7, Trojan, Win32, FakeAV, UDS:Trojan.Win32.FakeAV.ctes, 2017, call mov mov , lea call , mov push mov , push lea , mov mov cmp 
c464b26cc1f4a9f9409358c7b46e3ed3,00005bd1fd7c3124a889708b1792f32f59003e159a9e00f5d565f9717722a249, Downloader, Win32, Morstar, not-a-virus:Downloader.Win32.Morstar.ewi, 2018, cmp jz , mov mov cmp , retn mov , push mov mov , cmp jnz 
f22049a0e6eff2334564504aad5f685f,000f21b6af3eb4853b431a3610b9a104991f807220c7fa737928e4f7dbf52522, Worm, Win32, AutoRun, Worm.Win32.AutoRun.but, 2018, push call mov , mov push push , jz mov push , push push mov , push call mov 
29175f8ace674f02be1527a95fad9da6,000e319aea55740b88bcb732c677d30a416aa50118aad2fd59a5771331ba3088, RiskTool, AndroidOS, Dnotua, HEUR:RiskTool.AndroidOS.Dnotua.anux, 2019, jz mov push , pop pop pop , push push call , mov push mov , pop mov 
b444a79e1bce3d83309690baac27fe75,000842b1508cfd63c3b52a7564f9fc0e171550a535bc7fe2eb0b487db89f358e, AdWare, Win32, 4Shared, HEUR:AdWare.Win32.4Shared.gen, 2013, mov call , test jz , push call mov , mov push , push push push 
a860535a4bd828349a80e102bcaa513d,000a63d8fe3b0ec81bfbe1693d6b85aedf3e62f09aaf6c811ee81e0530700f93, Trojan, Win32, StartPage, Trojan.Win32.StartPage.umxd, 2013, push call mov , mov cmp , call mov mov , mov call , cmp jnz 
95f612943df79ac2a189874debf6c8c6,000ec225ca0b2aca553c2ef1b390f96c722c73663b5fa35d3f6161a3c35a1b00, AdWare, Win32, MultiPlug, not-a-virus:AdWare.Win32.MultiPlug.ofod, 2013, mov mov mov , push mov , push mov , mov lea , xor mov 
839800b88f67029390f17df05b9414b1,00091a28defe07c82f570063cf800b08d4d3e05965671d61330f4900b55d3e94, Trojan-Downloader, Win32, Geral, Trojan-Downloader.Win32.Geral.ctg, 2009, push push , mov lea , jmp mov , pop pop pop , push push call 
86228e8754ec3dc947ad0799d520b0d4,00005ff72390b39b1f3d2a024914bd0a3e92ec02a81e2a372217b6bf09a8cf36, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2021, jmp mov , push push mov , jz mov push , call mov , mov jmp 
699d34ab095284f392b7d764c59b3d0c,0004418dedb720a65693f830e176fdb403671351d18a923ebf8e511b2ccb53fd, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2019, lea push , pop pop pop , push call , push mov call , push call mov 
298e398d1f9296993c2dd9f1cb91c1e5,000b1fa356857bb2024bf793f9ca3efc3d4f6d3737a4d52222a1af44f28bd948, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2015, mov mov mov mov , push mov mov , push call , mov lea , push push push 
353bd70fd4c8b4ca4305e37439b9a15e,00046b263b993b810626cb7e79295dc00b5194d5300e469a46c891e9597f812c, AdWare, Win32, Browext, not-a-virus:AdWare.Win32.Browext.gen, 2010, call mov mov , call mov mov , push mov push , call pop , push call 
d08cce10402b65f1dcb8a03998a415d3,000e2a1f3dcf5dfceddb2bd05c397ba7903e188d420a9491dab6dbc188884366, 523f70cecaf0f5, 54000716, js, 523f70cecaf0f5.54000716.js, 2013, mov push , push push push , push lea , retn mov , pop pop pop 
0ea2c8cbca7b31c9810846f4d467636d,00068af114757d136d44abfa690c8e1e7740945ae9811f0caaecf3f49fe5fd66, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2014, jz mov push , cmp jnz , call mov , pop pop pop , push mov call 
88ef29b6d4f59b29b4b8bb3a46857fbe,000e3b981bee5e9031cb9d70cba10dd626880fc96352b955d2d24252fb20ecab, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2020, pop mov , push mov , mov cmp jz , mov mov mov mov , mov mov mov mov 
84e0ede2701284aa82d7d8394013c5b8,000be0e6c845cff20adc620dd010175ee341ee51d28104f12dae2cd7697b54d9, Packed, Win32, Krap, Packed.Win32.Krap.ae, 2014, jnz mov , mov push mov , mov call , mov push push , mov add 
e935426e05cbcbd08ac67c23d77f3e6d,000023d555729304db349228f2e49d1c89bcbea2e42f020c475af82fa9e6a367, Trojan-Dropper, VBS, Agent, Trojan-Dropper.VBS.Agent.bp, 2019, xor mov , mov test , push push mov , pop pop , mov call 
0b2ea712d7541dbac4052bc32161ae1f,0000d5be0b520d84c6f65b0fc42a72fd826ba8c56404cd3ebfc744ec8cf1295e, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2019, cmp jz mov , pop pop pop , jz mov push , cmp mov , push mov call 
a8a8d7753e76fa474e59c91947e86b22,000c5f184265631e899e8c819e55a5facab27a734f785e589b76dd81448937e1, AdWare, Win32, DealPly, HEUR:AdWare.Win32.DealPly.gen, 2010, cmp jnz , lea push , push push call , mov mov , push mov call 
38b2f7de7dff387ad68dcc57539b49ce,000408957cc8223409a0d386fffbbee9af12b0678d00badf1d7d0e840ab602aa, Trojan, Win32, Generic, HEUR:Trojan.Win32.Generic, 2014, xor mov , push mov push , cmp jnz , mov pop , pop retn 
b7e31ea0171501ee2fc00cbb07ac6192,000cc4cddce61587e0bcbf092219132822924c075ea9b9dd0da812a81c65fb0c, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2018, push mov push , mov push , pop pop , push push mov , cmp mov 
5878d043bffc8ab544a1d9006b866654,000aa891020c21f03b3e130f58460e4b9489df75b89a057849b10897f355a273, Worm, Win32, WBNA, Worm.Win32.WBNA.roc, 2012, push mov push , mov mov mov mov , cmp mov , lea mov , retn mov 
eb29ba32e022c99eee64af1918ad3bbd,000bc025ef14f827e23932383aa635f68959ceb264d1d409e1f63fdcb34ea161, Backdoor, Win32, LolBot, Backdoor.Win32.LolBot.bweb, 2012, jz mov , call pop , mov call mov , push call , cmp jz 
0b4850cb00944436626ec7eadb608fe0,000c4d6be6e69fc98a64382f5d924c749452e12297c8c9164a87d4f59a2a72c8, Trojan, Win32, Agent, Trojan.Win32.Agent.qwfejr, 2019, push push call , cmp jnz , push mov call , call mov mov , push mov mov 
19c10872ea0605228247579617629f2d,0001ee9127f660799bc643710db98690f6b7733e5b3b907b046444aa39e55336, b, dll, zgx, b.dll.zgx, 2013, call push , push push mov , mov call mov , push mov mov , mov mov cmp 
edf35d77d051f22a8a9a18b224d05ee6,0008230a41f616334a8c407e146ea92493dbcbe0c70848331405051bf02f0a25, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2013, mov push , pop retn , push mov call , cmp mov , mov call mov 
dc2ef97d4880018904620317e2eb0225,0005e67ae960b98ad4c1eed3a6040217427b3e69b743ed13d3020745b04377c2, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2018, call pop , mov mov mov mov , push mov call , mov mov mov , pop retn 
05165c78e4fdee86cb433563a78e41c0,000ea01d3a0fdf8f0af6d7db7847fc967178c10a1f4b3de6377c2930a54c3550, AdWare, Win32, Agent, not-a-virus:AdWare.Win32.Agent.aeph, 2020, push push , cmp jnz , mov cmp , push mov push , pop mov 
742dc40fb5036fbb80c0e162a1552dcd,000abb9192511cfad9381e02f610722cd889e4e4612c5a7fe78c2a958ee29888, AdWare, Win32, SoftPulse, VHO:AdWare.Win32.SoftPulse.gen, 2018, mov lea , call pop , mov xor , push mov , mov cmp jz 
9b7ea08c4159e06bb51d85b4a3a93658,000b1e6e7d66c91fd56da73f68c645a4b24a95f3a47dbba2341c3349718b4d2c, Trojan-Downloader, JS, Iframe, Trojan-Downloader.JS.Iframe.czo, 2016, push push push , retn mov , mov cmp , lea call , push mov 
741bfd7baa76b5c65c7ef6c69537e747,000d6f52ecbbb710b720cbea1ce9c286a2c04ca1863fd5f53a289a903036b09f, Trojan, Win32, VBKrypt, Trojan.Win32.VBKrypt.eg, 2013, mov pop , mov xor , jz mov push , mov call , mov cmp jz 
9f626e6f77417bfc56a05ed736537024,0002374b2784f3ab46f480a44de33ee2719e1e3f7076828d545a9c4d1584c49e, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2015, push mov mov , lea push , mov push , push push call , test jz 
745765bfeea57e418e4a4b1da799d372,000f95d2695b5056d07c143fd01a378182fd9fe0e55f588bdab01979d1ae5c90, Trojan, Win32, Buzus, Trojan.Win32.Buzus.xzif, 2018, jz mov , cmp jz , push mov mov , lea push , mov jmp 
8b03320a3ec8f14207a9c16e88d62259,0001d9c380a97098c0b6a13ba458c052d2fed8c973617ed269ac33d16c2c9471, Packed, Win32, Krap, Packed.Win32.Krap.ai, 2013, push push , retn mov , mov call , jz mov push , mov push 
6b3d68a6f960b3860c96b30cb108bdf3,000bdd39a2204b4bd3ba7c66516b37ee4424ab5c1001780f14782a13324b7558, Packed, Win32, Katusha, Packed.Win32.Katusha.o, 2013, jmp mov , lea mov , push push call , mov cmp , cmp jz mov 
36c55bdb70f13c256ba7ffc91043aa43,00039bc5852c6bd44373b55fa9cb77c772c800e054c300552dbbc6148d2259cc, Downloader, Win32, Generic, HEUR:Downloader.Win32.Generic, 2013, mov mov , jz mov push , call mov , pop retn , mov xor 
851492e77e3d579796bacd7928ec0ced,0005c88fd7dc9b8d15f8c655aebdfb6e99befc31333d6e19a70aaf2fa6af7d49, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2013, jnz mov , push mov , mov mov mov mov , mov xor , push mov 
241663c3d2d515ed7dce18e7181bd051,00028421d651c3f76f727cbb445b8282f60874600c94421d8c55433a97f54a32, Downloader, Win32, Morstar, not-a-virus:Downloader.Win32.Morstar.o, 2017, call pop , push mov mov , lea push , jnz mov , push push call 
2af2a8fe478f8d95e1ce878fcf7ae790,000609ed08392c4eddc861b918848ef103458e794ef2ad0c758db4da5e9351fb, WebToolbar, Win32, Zango, HEUR:WebToolbar.Win32.Zango.heur, 2013, mov cmp jz , xor mov , push call , mov push push , mov xor 
9346d3a6b0f74815581123652c75ebd7,000fae482bf3469022f3eb0534e8e1cb4667df7b16b29e3f32fa82956c71e2a8, Packed, Multi, SuspiciousPacker, Packed.Multi.SuspiciousPacker.gen, 2012, lea call , mov test , push push , call mov , pop retn 
b34a8516c4b2794fa21aee3e15463e00,000dfc0262cc573d295375e04ce763859ef1b74cab97398f7fab8e99ddb95b4f, P2P-Worm, Win32, Sytro, P2P-Worm.Win32.Sytro.o, 2018, lea call , lea mov , push call mov , cmp jz mov , mov push 
6a3a523985a15fb8ae27b88dfb155db5,00062352ae841f5a81c0608d0148cd516de4372b0e6f62d4f65c8894299e76b6, Trojan, Script, Generic, HEUR:Trojan.Script.Generic, 2019, push lea , mov jmp , lea push , push mov push , push push push 
7fc2c66bf4db329dd435f24d8f6a007e,0000f87880909d5854ccc0abd050f17e96215169d80ef14dadd35801e2945c82, Trojan-Dropper, Win32, Pincher, Trojan-Dropper.Win32.Pincher.hp, 2013, mov test , mov jmp , mov test , cmp mov , lea mov 
c6b68fb0aacd418675e57ccf4634536f,000b6132878f0a664be5bafa53c9b6eaa657fd5db8dcddeea517213219686c6e, Backdoor, Win32, Hupigon, Backdoor.Win32.Hupigon.ceq, 2013, mov xor , mov lea , jnz mov , pop retn , jmp mov 
944fa0adcfe5da5ae7bad16dcdc2209c,000456f97335131ee87fe3ba48e93a23610e2ce226be24a5566634259f783582, AdWare, Script, Generic, HEUR:AdWare.Script.Generic, 2013, call mov , pop pop , mov mov mov , push mov call , xor mov 
9befb216156afebd99c2551947aa8255,0007c863787cee4465f8f88fa7f0e4ec852bec5329f3aab8e3ea136eb9dec8bf, DangerousObject, Multi, Generic, UDS:DangerousObject.Multi.Generic, 2013, retn mov , push mov call , pop mov , mov push , mov jmp 
